Code;svenska;shortTitle;inclusion;exclusion;criteria;consider;note
P24;Beteendesymptom / -besvär hos ungdom;Specific learning problem;dyslexia;"attention deficit disorder P81; mental retardation P85";specific speech, language and learning problems with onset in childhood, together with an impairment of functions related to biological maturation of the central nervous system, and a steady course over time without spontaneous remissions or relapses, although the deficit may diminish as the child grows older;;
P25;Livskris hos vuxen;Phase of life problem adult;"empty nest syndrome; mid-life crisis; retirement problem";"feeling/behaving old P05; menopause X11";;;
P27;Rädsla för sinnessjukdom;Fear of mental disorder;"concern about mental disease; fear of attempting suicide";if the patient has the disease, code the disease;concern about/fear of mental disease in a patient without the disease/until the diagnosis is proven;;
P28;Psykisk funktionsbegränsning / handikapp;Limited function/disability (P);low self-esteem;;limitation of function/disability due to a psychological problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
P29;Annat psykiskt symptom / besvär;Psychological sympt/compl other;"delusions; eating disorders NOS; hallucinations; multiple psychological symptoms/complaints; poor hygiene; strange behaviour; suspiciousness";tension headache N95;;;
P70;Demens;Dementia;"Alzheimer's disease; senile dementia";;a syndrome due to a disease of the brain, usually of a chronic and/or progressive nature, with clinically significant disturbance of multiple higher cortical functions (memory, thinking, orientation, comprehension), together with intact consciousness;"senility P05; other psychological symptoms P29";
P71;Annan organisk psykos;Organic psychosis other;delirium;"psychosis caused by alcohol P15; psychosis NOS P98";organic psychiatric disorders as a diagnosis require psychological syndromes, patterns or behaviour due to organic disease;;
P72;Skizofreni;Schizophrenia;"all types of paranoia; all types of schizophrenia";acute/transient psychosis P98;fundamental and characteristic distortions of thinking, perception and affect that are inappropriate or blunted (eg. thought-echo, -insertion, -withdrawal, delusional perceptions, hallucinatory voices, delusions of control), together with a clear consciousness and unaffected intellectual capacity.;psychosis NOS P98;
P73;Affektiv psykos;Affective psychosis;"bipolar disorder; hypomania; mania; manic depression";depression P76;a fundamental disturbance in affect and mood (with/without associated anxiety). In manic disorder mood, energy and activity are simultaneously elevated. In bipolar disease, at least two periods of disturbed mood, shifting from elevated to lowered are observed;psychosis NOS P98;
P74;Ångeststörning /- tillstånd;Anxiety disorder/anxiety state;"anxiety neurosis; panic disorder";"anxiety NOS P01; anxiety with depression P76";clinically significant anxiety that is not restricted to any particular environmental situation. It manifests as a panic disorder (recurrent attacks of severe anxiety not restricted to any particular situation, with or without physical symptoms) or as a disorder in which generalized and persistent anxiety, not related to any particular situation, occurs with variable physical symptoms;feeling anxious/nervous/tense P01;
P75;Somatiseringssyndrom;Somatization disorder;"conversion disorder; hypochondriacal disorder; hysteria; pseudocyesis";;somatization disorder is characterized by a preoccupation with and repeated presentations of physical symptoms and complaints together with persistent requests for medical investigations in spite of repeated negative findings and reassurances by doctors. For this diagnosis, the presentation of multiple, recurrent and frequently changing physical symptoms presented to the family physician over a period of at least one year is required. Hypochondriacal disorder requires a persistent preoccupation with either the physical appearance or with the possibility of having a serious disease, together with persistent somatic complaints over a period of at least one year, in spite of repeated negative findings and reassurances by doctors;;Somatization is the repeated presentation of physical symptoms and complaints suggesting physical disorders for which no demonstrable organic findings or physiological mechanisms are responsible, and for which there is positive evidence that they are linked to psychological factors while the patient does not experience a sense of controlling the production of these symptoms in dealing with the psychological factors. Physical symptoms and complaints including pain which are presented as if they were due to a physical disorder of a system/organ under autonomic nervous control, or which consist of persistent, severe/distressing pain which cannot be explained by a physiological process/disorder, are coded with a symptom/complaint diagnosis representing the physical aspect, and - if possible - with a code representing the emotional or psychosocial problem with which it is associated. The definition of somatization disorder in ICD-10 (a minimum of 2 years) is too stringent for use in general pract.
P76;Depressiv sjukdom;Depressive disorder;"depressive neurosis/psychosis; mixed anxiety and depression; puerperal/postnatal depression; reactive depression";acute stress reaction P02;fundamental disturbance in affect and mood towards depression. Mood, energy and activity are simultaneously lowered, together with an impaired capacity for enjoyment, interest and concentration. Sleep and appetite are usually disturbed and self-esteem and confidence are decreased;feeling depressed P03;
P77;Självmord / självmordsförsök;Suicide/suicide attempt;"successful attempt; suicide gesture";fear of committing suicide P27;;;double code with A96
P78;Neurasteni / uttrötthet;Neuraesthenia/surmenage;;;"increased fatigueability with unpleasant associations, difficulties in concentration and a persistent decrease in performance and coping efficiency; the feeling of physical weakness and exhaustion after mental effort or after a minimal physical effort is often accompanied by muscular pain and an inability to relax";fatigue/postviral fatigue/chronic fatigue syndrome A04;
P79;Fobi / obsessiv-kompulsi störning;Phobia/compulsive disorder;;;"phobic anxiety disorder requires outspoken anxiety, evoked only in well defined situations that are not generally considered dangerous: the patient tries to avoid these situations, or endures them with dread. Obsessive compulsive disorder requires distressing and recurrent obsessional thoughts/acts recognized by the patient as his/her own; compulsive stereotyped behaviours are repeated again and again, intended to prevent some objective unlikely event and recognized by the patient as pointless and ineffective";;
P80;Personlighetsstörning;Personality disorder;"adult behaviour disorder; compensation neurosis; Munchhausen's syndrome; psychopathy";;persistent and clinically important conditions and behaviour patterns in an individual's lifestyle and mode of relating to him/herself and others, reflecting significant/extreme deviations from the way an average individual in a given culture perceives, feels and behaves. This pattern is deeply ingrained and longlasting;;
P81;Hyperkinetiskt syndrom;Hyperkinetic disorder;"attention deficit disorder (ADD); hyperactivity";"hyperkinetic disorder with adolescent onset P23; learning disorder P24";early onset of a lack of persistence in activities requiring cognitive involvement, with a tendency to move from one activity to another without completing any one, with disorganised and ill-regulated behaviour, and excessive activity;overactive child P22;
P82;Post-traumatiskt stressyndrom;Post-traumatic stress disorder;chronic post-traumatic stress disorder;acute stress reaction P02;a stressful event followed by a major state of distress and disturbance, with a delayed or protracted reaction, flashbacks, nightmares, emotional blunting and anhedonia interfering with social functioning and performance, and including depressed mood, anxiety, worry and feeling unable to cope, persistent over time;"feeling anxious P01; acute stress reaction P02; feeling depressed P03; enduring personality change after catastrophic experience P80";
P85;Förståndshandikapp;Mental retardation;;mental retardation due to congenital anomaly A90;arrested/incomplete development of the mind with impairment of skills during the developmental period, and a low overall level of intelligence, with/without impairment of behaviour.;;
P86;Anorexia nervosa / bulimi;Anorexia nervosa/bulimia;;;Anorexia nervosa: deliberate weight loss induced and sustained by the patient, associated with an intensive and overvalued dread of fatness and flabbiness of body contours. Bulimia: repeated bouts of overeating and an excessive preoccupation with body weight, leading to a pattern of overeating followed by induced vomiting or use of purgatives;"eating disorder, food refusal P11; eating disorder, food refusal P29; feeding problem T04; feeding problem T05";
P98;Annan psykos / Psykos UNS;Psychosis NOS/other;acute/ transient/reactive/puerperal psychosis;;;;
P99;Annan psykisk störning;Psychological disorders other;"autism; neurosis NOS";;;;
R01;Smärta relaterad till andningsorganen;Pain respiratory system;"painful respiration; pleuritic pain; pleurodynia";"chest pain A11; musculoskeletal chest pain L04; nose pain R08; sinus pain R09; sore throat R21; chest tightness R29; pleurisy R82";;;
R02;Andnöd;Shortness of breath/dyspnoea;orthopnoea;"wheezing R03; stridor R04; hyperventilation R98";;;
R03;Pipande andning;Wheezing;rhonchi;"dyspnoea R02; stridor R04; hyperventilation R98";;;
R04;Annat andningsproblem;Breathing problem other;"abnormal breathing; apnoea; holding breath; inspiratory wheeze; respiratory distress; snoring; stridor; tachypnoea";"sleep apnoea P06; respiratory pain R01; dyspnoea R02; wheezing R03; cough R05; hyperventilation R98";;;
R05;Hosta;Cough;cough (dry or moist);abnormal sputum/phlegm R25;;;
R06;Näsblod;Nose bleed/epistaxis;;;;;
R07;Nysning / nästäppa;Sneezing/nasal congestion;"blocked nose; rhinorrhea; running nose";;;;
R08;Annat nässymptom / -besvär;Nose symptom/complaint other;"pain in nose; post-nasal drip; prominent nose; red nose";"anosmia N16; epistaxis R06; blocked nose/sneezing R07; complaint of sinuses R09; rhinophyma S99";;;
R09;Symptom / besvär betr. näsans bihålor;Sinus symptom/complaint;"blocked sinus; congested sinus; pain/pressure in sinus";"headache N01; face pain N03; nasal congestion R07";;;
R21;Symptom / besvär beträffande strupen;Throat symptom/complaint;"dry/inflamed/red/sore throat; large tonsils; lump in throat; tonsillar pain";"voice symptom R23; tonsillar hypertrophy R90";;;
R23;Symptom / besvär beträffande rösten;Voice symptom/complaint;"absence of voice; aphonia; hoarseness";"neurological disorder of speech N19; stammering/stuttering/tic P10; sore throat R21";;;
R24;Blodhosta;Haemoptysis;;;;;
R25;Avvikande sputum / upphostning;Sputum/phlegm abnormal;;"cough with sputum R05; haemoptysis R24";;;
R26;Rädsla för cancer i andningsorganen;Fear  cancer  respiratory system;;if patient has the disease, code the disease;concern about/fear of cancer of respiratory system in a patient without the disease/until the diagnosis is proven;;
R27;Rädsla för annan sjukdom i andningsorgan;Fear of respiratory disease other;;"fear of respiratory cancer R26; if patient has the disease, code the disease";concern about/fear of other respiratory disease in a patient without the disease/until the diagnosis is proven;;
R28;Funktionsbegränsning / handikapp (R);Limited function/disability (R);"disability due to disease of nose/larynx/throat; disability due to hypercapnia; disability due to hypoxia; disability due to reduced lung function; disability due to respiratory disease";"dyspnoea R02; wheezing R03";limitation of function/disability due to a respiratory problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
R29;Annat symptom / besvär i andningsorganen;Respiratory symptom/complaint other;"chest tightness; fluid on lung; hiccough; lung congestion";;;;
R71;Kikhosta;Whooping cough;"parapertussis; pertussis";croup R77;"respiratory infection with a characteristic staccato paroxysmal cough ending with a high-pitched inspiratory whoop; or respiratory infection with cough of at least three weeks duration in contact with known pertussis; or demonstration of Bordetella pertussis or parapertussis";"cough R05; upper respiratory infection R74";
R72;Streptokockfaryngit;Strep throat;proven streptococcal pharyngitis/tonsillitis;"scarlet fever A78; erysipelas/strep skin infection S76";acute inflammation of the throat, plus demonstration of beta-haemolytic streptococci;tonsillitis R76;
R73;Furunkel / böld i näsan;Boil/abscess nose;localized nose infection;acute sinusitis R75;;;
R74;Akut övre luftvägsinfektion;Upper respiratory infection acute;"acute rhinitis; coryza; head cold; nasopharyngitis; pharyngitis; URTI/URI";"measles A71; infectious mononucleosis A75; viral pharyngoconjunctivitis F70; sinusitis R75; tonsillitis/quinsy R76; laryngitis/croup R77; influenza R80; chronic pharyngitis R83; allergic rhinitis R97";evidence of acute inflammation of nasal or pharyngeal mucosa with absence of criteria for more specifically defined acute respiratory infection classified in this section;;
R75;Akut / kronisk sinuit;Sinusitis acute/chronic;sinusitis affecting any paranasal sinus;;"purulent nasal/post-nasal discharge, or previous medically treated episodes of sinusitis, plus tenderness over one/more sinuses, or deep-seated aching facial pain aggravated by dependency of head, or opacity on transillumination; or imaging evidence of sinusitis; or pus obtained from the sinus";"headache N01; face pain N03; upper respiratory tract infection R74";
R76;Akut tonsillit;Tonsillitis acute;"peritonsillar abscess; quinsy";"infectious mononucleosis A75; strep throat R72; diphtheria R83; hypertrophy/chronic infection of tonsils R90";sore throat or fever with reddening of tonsil(s) more than the posterior pharyngeal wall, and either pus on swollen tonsil(s) or enlarged tender regional lymph nodes;acute upper respiratory tract infection R74;
R77;Akut laryngit / trakeit;Laryngitis/tracheitis acute;"false croup; pseudocroup";"laryngotracheobronchitis R78; epiglottitis R83";hoarseness/stridor with/without respiratory distress, or deep dry painful cough (barking in children), and normal chest signs;upper respiratory tract infection R74;
R78;Akut bronkit / bronkiolit;Acute bronchitis/bronchiolitis;"acute lower respiratory infection NOS; bronchitis NOS; chest infection NOS; laryngotracheobronchitis; tracheobronchitis";"chronic bronchitis R79; influenza R80; allergic bronchitis R96";"in children and adults: cough and fever with scattered or generalized abnormal chest signs: wheeze, coarse rales, rhonchi or moist sounds; in infants (bronchiolitis): dyspnoea and hyperinflation";"wheezing R03; cough R05; upper respiratory tract infection R74";
R79;Kronisk bronkit;Chronic bronchitis;;"emphysema/chronic obstructive pulmonary (lung, airways) disease R95; bronchiectasis R99";"cough with sputum on most days for at least 3 months in each of at least 2 years; and scattered rales/rhonchi on auscultation of the chest during these episodes";"cough R05; abnormal sputum/phlegm R25; bronchitis NOS R78";
R80;Influensa;Influenza;"influenza-like illness; para-influenza";"gastric flu D70; influenza pneumonia R81";"myalgia and cough without abnormal respiratory physical signs other than inflammation of nasal mucous membrane and throat, plus three or more of the following: sudden onset (within 12 hours); rigors/chills/fever; prostration and weakness; influenza in close contacts; influenza epidemic; or viral culture/serological evidence of influenza virus infection";"fever A03; virus infection NOS A77; upper respiratory tract infection R74";
R81;Lunginflammation;Pneumonia;"bacterial/viral pneumonia; bronchopneumonia; influenzal pneumonia; Legionnaire's disease; pneumonitis";aspiration pneumonia R99;evidence of pulmonary consolidation;"cough R05; acute bronchitis R78";
R82;Pleurasmärta eller pleuravätska;Pleurisy/pleural effusion;"pleural inflammatory exudate; pleuritis";"tuberculosis A70; pneumonia R81";"clinical evidence of pleural exudate; or pleuritic pain accompanied by pleural friction rub; or investigative evidence of inflammatory pleural exudate";pleuritic pain R01;malignant effusion to be coded to origin of malignancy
R83;Annan infektion i andningsorganen;Respiratory infection other;"chronic nasopharyngitis; chronic pharyngitis; chronic rhinitis NOS; diphtheria; empyema; epiglottitis; fungal respiratory infection; lung abscess; protozoal infection (without pneumonia)";cystic fibrosis T99;;;
R84;Malign tumör i luftrör / lunga;Malignant neoplasm bronchus/lung;malignancy of trachea/bronchus/lung;"malignancy of unknown site A79; a secondary malignancy from known site to be coded to site";characteristic histologic appearance;unspecified respiratory neoplasm R92;
R85;Annan malign tumör i andningsorganen;Malignant neopl respiratory other;"malignancy of larynx/mediastinum/nose/pharynx/pleura/sinus; mesothelioma";"Hodgkin's disease B72; malignancy of trachea/bronchus/lung R84";characteristic histologic appearance;unspecified respiratory neoplasm R92;
R86;Benign tumör i andningsorganen;Benign neoplasm respiratory;;"unspecified respiratory neoplasm R92; nasal polyp R99";characteristic clinical or histologic appearance;;
R87;Främmande kropp i andningsvägarna;Foreign body nose/larynx/bronchus;foreign body in lung;"drowning A88; foreign body lodged in oesophagus D79; foreign body in ear H76; aspiration pneumonia R99";visualization of foreign body directly/endoscopically/using imaging;other complaint of respiratory system R29;
R88;Annan skada i andningsorganen;Injury respiratory other;injury/trauma to nose/respiratory system;"drowning A88; fractured nose L76; foreign body in respiratory system R87";;;
R89;Medfödd missbildning i andningsorganen;Congenital anomaly respiratory;congenital abnormality of nose/pharynx/trachea/larynx/bronchi/lungs/pleura;"cleft lip/palate D81; cystic fibrosis T99";;;
R90;Hypertrofi an tonsiller / adenoider;Hypertrophy tonsils/adenoids;chronic tonsillitis;"acute tonsillitis R76; allergic rhinitis R97";;;
R92;tumör i andningsorganen UNS;Neoplasm respiratory unspecified;respiratory neoplasm unspecified as benign or malignant/when histology is not available;"secondary neoplasm unknown site A79; Malignant neoplasm bronchus/lung R84; Malignant neoplasm respiratory, other R85; benign respiratory neoplasm R86";;;
R95;Kronisk obstruktiv lungsjukdom;Chron obstructive pulmonary disease;"chronic airways limitation (CAL); chronic obstructive airways disease (COAD); chronic obstructive lung disease (COLD); chronic obstructive pulmonary disease (COPD); emphysema";"chronic bronchitis R79; asthma R96; bronchiectasis R99; cystic fibrosis T99";objective evidence of airway obstruction, not/only partially relieved by bronchodilators;other breathing problem R04;
R96;Astma;Asthma;"reactive airways disease; wheezy bronchitis";"bronchiolitis R78; chronic bronchitis R79; emphysema R95";"recurrent episodes of reversible acute bronchial obstruction with wheeze/dry cough; or diagnostic test meeting currently accepted criteria for asthma";"wheezing R03; cough R05";
R97;Allergisk snuva;Allergic rhinitis;"hay fever; nasal allergy; vasomotor rhinitis";"upper respiratory tract infection R74; chronic rhinitis NOS R83";;;
R98;Hyperventilation;Hyperventilation syndrome;;;symptoms related to hyperventilation and relieved by rebreathing expired air;other breathing problem R04;
R99;Annan sjukdom i andningsorganen;Respiratory disease other;"aspiration pneumonia; bronchiectasis; deviated nasal septum; lung complication of other disease; mediastinal disease; nasal polyp; other disease of larynx; pneumoconiosis; pneumonitis due to allergy/chemicals/dust/ fumes/mould; pneumothorax; pulmonary collapse; pulmonary oedema without heart disease/heart failure; respiratory failure";;;;
S01;Smärta / ömhet i huden ;Pain/tenderness of skin;"burning sensation; painful lesion or rash; soreness";"tingling fingers/feet/toes N05; other sensation disturbance N06";;;
S02;Klåda;Pruritus;skin irritation;"anogenital pruritus D05; dermatitis artefacta S99; vulval pruritus X16; nipple pruritus X20";;;
S03;Vårtor;Warts;verrucae;"molluscum contagiosum S95; genital warts female X91; genital warts male Y76";;;
S04;Lokal svullnad / knöl;Lump/swelling localized;papule;"insect bite S12; breast lump female X19; breast lump male Y16";;;
S05;Generaliserad svullnad / knölar ;Lumps/swellings generalized;papules/lumps/swellings in multiple sites;swollen ankles/oedema K07;;;
S06;Lokalt utslag;Rash localized;"blotch; erythema; redness";localized lump/swelling S04;;;
S07;Generaliserat utslag;Rash generalized;blotches/erythema/redness occurring in multiple sites;"other viral exanthem A76; generalized lumps/swellings skin S05";;;
S08;Annan förändring av hudfärgen ;Skin colour change;"'circles under eyes'; cyanosis; flushing; freckles; pallor";"bruise S16; vitiligo S99";;;
S09;Infektion i finger / tå;Infected finger/toe;paronychia;"post-traumatic infection finger/toe S11; tinea S74; monilia/candida S75";;;
S10;Böld;Boil/carbuncle;"abscess; furuncle";"lymphadenitis B70; perianal boil D95; boil external auditory meatus H70; boil of nose R73; infected finger/toe S09; wound infection S11; erysipelas S76; pilonidal abscess S85; hydradenitis S92; boil female external genitalia X99; boil male external genitalia Y99";;;
S11;Posttraumatisk hudinfektion;Skin infection post-traumatic;infected post-traumatic wound/bite;"surgical wound infection A87; erysipelas, pyoderma S76; impetigo S84";;;
S12;Insektbett / -stick;Insect bite/sting;;"toxic effects non-medical substance A86; infected bite S11; scabies S72; pediculosis S73";;;
S13;Bett av djur / -människa;Animal/human bite;;"toxic effects non-medical substance A86; infected bite S11";;;
S14;Brännskada / skållning;Burn/scald;"burn/scald of all degrees; external chemical burn";sunburn S80;;;
S15;Främmande kropp i huden;Foreign body in skin;foreign body under nail;;;;
S16;Kontusion;Bruise/contusion;"ecchymosis; haematoma";bruise with broken skin S17;bruise/contusion with intact skin surface;;
S17;Hudavskrapning / skråma / blåsa;Abrasion/scratch/blister;"bruise if skin broken; graze";;;;
S18;Laceration / skärsår;Laceration/cut;laceration/cut of skin/subcutaneous tissues;"bite S13; bruise with broken skin S17";;;
S19;Annan hudskada;Skin injury other;"avulsion nail; needle stick; puncture";bite S13;;;
S20;Förhorning / kallositet;Corn/callosity;;hyperkeratosis S80;;;
S21;Symptom / besvär betr. hudens konsistens ;Skin texture symptom/complaint;"dry skin; peeling; scaling; wrinkles";"sweating problem A09; scalp symptom/complaint S24; ichthyosis S83; sweat gland disease S92; vulval symptom/complaint X16";;;
S22;Nagelsymtom / -besvär;Nail symptom/complaint;clubbing;"paronychia S09; ingrowing nail S94";;;
S23;Skallighet / håravfall;Hair loss/baldness;alopecia;;;;
S24;Annat symptom/besvär fr. hår / huvudsvål ;Hair/scalp symptom/complaint other;"dry scalp; hirsutism";"trichotillomania P29; folliculitis S10; hair loss/baldness S23; dandruff S86";;;
S26;Rädsla för hudcancer;Fear of cancer of skin;;if the patient has the disease, code the disease;concern about/fear of cancer of skin in a patient without the disease/until the diagnosis is proven;;
S27;Rädsla för annan hudsjukdom;Fear of skin disease other;;"fear of cancer of skin S26; if the patient has the disease, code the disease";concern about/fear of having other skin disease in a patient without the disease/until the diagnosis is proven;;
S28;Funktionsbegränsning / handikapp (S) ;Limited function/disability (S);;;limitation of function/disability due to a skin problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
S29;Annat hudsymptom / besvär;Skin symptom/complaint other;"cellulite; petechiae; problems with umbilicus; sore(s); spontaneous ecchymosis";"Chronic ulcer skin/pressure sore S97; scar S99";;;
S70;Bältros;Herpes zoster;"herpes zoster ophthalmicus; post-herpetic neuralgia; shingles";;grouped vescicular eruptions, unilateral distribution, over area of a single dermatome;"skin pain S01; localized rash S06";
S71;Herpes simplex;Herpes simplex;"cold sore; fever blister";"herpes simplex of eye without corneal ulcer F73; genital herpes female X90; genital herpes male Y72";"vesicles with erythematous base in localised area(s); plus past history of similar lesions, or virological or serological evidence";localized rash S06;
S72;Skabb / annan akarinos;Scabies/other acariasis;;;"intense pruritic skin lesions plus arrays of burrows on sides of palms, fingers, penis or skin folds; or demonstration of parasites or ova in lesions";pruritus S02;
S73;Lusangrepp / annan hudinfestation;Pediculosis/skin infestation other;"fleas; lice; mites; ticks";"infected insect bites S11; insect bites S12";demonstration of nits on hair shafts or insects on skin/clothes;"pruritus S02; localized rash S06";
S74;Dermatofytos / svampinfektion i huden ;Dermatophytosis;"fungal skin infection; onychomycosis; pityriasis versicolor; ringworm; tinea";monilia/candida S75;"pruritic scaly lesions with central clearing and small vesicles at border; or demonstration of fungus";;
S75;Moniliasis / candidainfektion i huden;Moniliasis/candidiasis skin;"monilial intertrigo; thrush involving nails/perianal region/skin";"oral thrush D83; genital candidiasis female X72; genital candidiasis male Y75";;;
S76;Annan hudinfektion;Skin infection other;"cellulitis; erysipelas; pyoderma; strep skin infection";"boil/carbuncle S10; other localized skin infection S11; impetigo S84; molluscum contagiosum S95; acne S96";;;
S77;Malign hudtumör;Malignant neoplasm of skin;"basal cell carcinoma; malignant melanoma; rodent ulcer; squamous cell carcinoma of skin";premalignant lesion of skin S79;characteristic histological appearance;"other malignant neoplasm (when primary site is uncertain) A79; neoplasm of skin unspecified as benign or malignant/when histology is not available S79";
S78;Lipom;Lipoma;;;;;
S79;Annan benign hudtumör / UNS;Neoplasm skin benign/unspecified;"benign skin neoplasm; dermoid cyst; premalignant lesion; skin neoplasm not specified as benign or malignant/when histology is not available";"residual haemorrhoidal skin tag K96; solar keratosis S80; haemangioma S81; mole/pigmented nevus S82; keloid, hyperkeratosis, seborrhoeic/senile warts S99";;;
S80;Solutlöst brännskada eller keratos;Solar keratosis/sunburn;"photosensitivity; polymorphous light eruption; radiation skin damage; senile keratosis; solar hyperkeratosis";"skin damage due to man made radiation (complication of medical treatment) A87; skin damage due to man made radiation (adverse effect physical factor) A88";;;
S81;Hemangiom / lymfangiom;Haemangioma/lymphangioma;"angiomatous birthmark; portwine stain";;vascular or lymphatic tumour, elevated above skin and emptying on pressure;localized swelling S04;
S82;Nevus;Naevus/mole;;;;;
S83;Annan medfödd missbildning i hud;Congenital skin anomaly other;"birthmark; ichthyosis";haemangioma/lymphangioma S81;;;
S84;Impetigo;Impetigo;impetigo secondary to other dermatosis;;spreading skin lesion consisting of macules, vesicles, pustules or crust with underlying raw area;other localized skin infection S11;
S85;Pilonidal cysta / fistel;Pilonidal cyst/fistula;pilonidal abscess;dermoid cyst S79;;;
S86;Seborroisk dermatit;Dermatitis seborrhoeic;"cradle cap; dandruff";seborrhoeic warts S99;greasy, scaly lesions with underlying erythema on one or more areas of scalp, face, sternum, interscapular areas, around umbilicus and in body folds, not attributable to other skin disease;"localized rash S06; generalized rash S07";
S87;Atopiskt utslag /eksem;Dermatitis/atopic eczema;"flexural dermatitis; infantile eczema";"dermatitis/atopic eczema affecting external auditory meatus H70; allergic dermatitis S88; diaper rash S89";pruritic exudative lesions with/without lichenification over face and neck, wrists and hands, chest, back of knees and front of elbow;"pruritus S02; localized rash S06; generalized rash S07";
S88;Allergiskt eksem / kontaktdermatit;Dermatitis contact/allergic;"allergic dermatitis; chemical dermatitis; dermatitis NOS; eczema NOS; intertrigo; plant sting; skin allergy";"allergy/allergic reaction unspecified A92; contact and other dermatitis of eyelid F72; contact/other dermatitis of external auditory meatus H70; atopic eczema S87; diaper rash S89; urticaria S98; dermatitis artefacta/neurodermatitis S99";pruritic erythematous lesions related to exposure to chemical substance;"pruritus S02; localized rash S06; generalized rash S07";
S89;Blöjutslag;Diaper rash;;;dermatitis, primarily of the diaper area and sparing creases;;
S90;Pityriassis rosea;Pityriasis rosea;;;oval, scaly eruptions along skin tension lines of trunk, with a history of a solitary lesion preceeding presenting rash;"localized rash S06; generalized rash S07";
S91;Psoriasis;Psoriasis;;;plaques with silvery scales on knees, elbows or scalp and/or stippled/pitted nails;;double code psoriatic arthritis L99
S92;Sjukdom i svettkörtlar;Sweat gland disease;"dyshidrosis; heat rash; hydradenitis; miliaria; pompholyx; prickly heat; sweat rash";hyperhidrosis A09;;;
S93;Aterom;Sebaceous cyst;wen;;;;
S94;Ingrodd tånagel;Ingrowing nail;;paronychia S09;;;
S95;Mollusker;Molluscum contagiosum;;;;;
S96;Akne;Acne;"blackheads; comedones; pimples";acne due to medication A85;;;
S97;Kroniskt hudsår;Chronic ulcer skin;"bedsore; decubitus ulcer; pressure sore; varicose ulcer";gangrene K92;;;
S98;Urtikaria;Urticaria;"hives; weals";"drug allergy A85; angioedema/allergic oedema A92";;;
S99;Annan sjukdom i huden;Skin disease other;"dermatitis artefacta; discoid lupus erythematosus; erythema multiforme; erythema nodosum; folliculitis; granuloma; granuloma annulare; hyperkeratosis NOS; keloid; keratoacanthoma; lichen planus; neurodermatitis; onychogryphosis; pigmentation; rhinophyma; rosacea; scar; seborrhoeic or senile warts; striae atrophicae; vitiligo";;;;
T01;Överdriven törst;Excessive thirst;polydipsia;;;;
T02;Överdriven aptit;Excessive appetite;"overeating; polyphagia";bulimia P86;;;
T03;Aptitlöshet;Loss of appetite;anorexia;anorexia nervosa P86;;;
T04;Matningsproblem hos spädbarn / barn ;Feeding problem of infant/child;problem of what and how to eat/feed infant/child;"food allergy A92; food intolerance D99; feeding problem/eating disorders with psychological cause P11";;;
T05;Problem med födointag hos vuxen;Feeding problem of adult;problem of what and how to eat/feed adult;"food allergy A92; dysphagia D21; food intolerance D99; psychological eating disorders/ food refusal P29; anorexia/bulimia nervosa P86; loss of appetite T03";;;
T07;Viktökning;Weight gain;;"obesity T82; overweight T83";;;
T08;Viktförlust;Weight loss;cachexia;anorexia nervosa P86;;;
T10;Utebliven förväntad tillväxt;Growth delay;"failure to thrive; physiological delay growth";"delayed milestones P22; learning disorder P24; mental retardation P85; delayed puberty T99";;;
T11;Dehydrering;Dehydration;water depletion;salt depletion/electrolyte disturbance T99;;;
T26;Rädsla för cancer i endokrina organ;Fear of cancer of endocrine system;;if the patient has the disease, code the disease;concern about/fear of cancer of endocrine system in a patient without the disease/until the diagnosis is proven;;
T27;Rädsla för endokrin/ nutritionell sjukdom ;Fear endocrine/metabol disease other;fear of diabetes;"fear of cancer of endocrine system T26; if the patient has the disease, code the disease";concern about/fear of other endocrine/metabolic/nutritional disease in a patient without the disease/until the diagnosis is proven;;
T28;Funktionsbegränsning / handikapp (T);Limited function/disability (T);;;limited function/disability due to a problem of the endocrine/metabolic/nutritional system;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
T29;Annat endokr/metabol/nutrit. symptom;Endocr/metab/nutr sympt/compl other;"specific food craving; underweight";"hyperglycemia A91; fluid retention K07";;;
T70;Infektionssjukdom i endokrint organ;Endocrine infection;;thyroiditis T99;;;
T71;Malign tumör i sköldkörtel;Malignant neoplasm thyroid;;;characteristic histological appearance;"other/unspecified endocrine neoplasm T73; goitre T81";
T72;Benign tumör i sköldkörtel;Benign neoplasm thyroid;;"other/unspecified endocrine neoplasm T73; goitre T81";;;
T73;Annan / ospecificerad tumör i sköldkörtel ;Neoplasm endocrine other/unspecified;other endocrine neoplasm/endocrine neoplasm not specified as benign or malignant/when histology is not available;;;;
T78;Persistent ductus thyroglossus;Thyroglossal duct/cyst;;goitre T81;;;
T80;Annan missbildning i endokrina organ;Congen  anomaly endocrine/metabolic;"cretinism; dwarfism";thyroglossal duct (cyst) T78;;;
T81;Struma;Goitre;"non-toxic goitre; thyroid nodule";"Malignant neoplasm thyroid T71; Benign neoplasm thyroid T72; Neoplasm endocrine other/unspecified T73; thyroglossal cyst T78; toxic goitre T85; hypothyroidism T86";;;
T82;Signifikant / svår fetma;Obesity;;overweight T83;a body mass index greater than 30;;
